2445825168,0,2445835340,347,2445845460,343
2445867596,0,2445877768,347,2445887896,344
2445910036,0,2445920204,346,2445930324,344
2445952464,0,2445962640,346,2445972760,345
2445994900,0,2446005076,346,2446015200,345
2446037344,0,2446047516,345,2446057640,345
2446079784,0,2446089956,346,2446100080,344
2446122224,0,2446132396,346,2446142520,344
2446164660,0,2446174828,347,2446184952,343
2446207088,0,2446217260,347,2446227380,343
2446249520,0,2446259692,346,2446269816,344
2446291952,0,2446302124,345,2446312244,345
2446334388,0,2446344560,345,2446354680,345
2446376824,0,2446386992,345,2446397112,344
2446419252,0,2446429428,346,2446439552,344
2446461696,0,2446471868,346,2446481992,343
2446504132,0,2446514304,346,2446524428,343
2446546568,0,2446556740,347,2446566864,344
2446589000,0,2446599180,346,2446609300,344
2446631440,0,2446641612,346,2446651736,344
2446673876,0,2446684048,345,2446694176,345
2446716316,0,2446726492,345,2446736616,344
2446758756,0,2446768928,346,2446779048,344
2446801192,0,2446811364,346,2446821488,343
2446843624,0,2446853796,346,2446863920,343
2446886060,0,2446896232,346,2446906348,343
2446928492,0,2446938664,346,2446948784,344
2446970928,0,2446981096,345,2446991212,344
2447013356,0,2447023528,345,2447033648,344
2447055792,0,2447065968,346,2447076088,344
2447098228,0,2447108400,345,2447118520,344
2447140664,0,2447150836,346,2447160960,343
2447183100,0,2447193272,346,2447203392,343
2447225532,0,2447235704,346,2447245824,342
2447267968,0,2447278140,346,2447288260,343
2447310408,0,2447320580,345,2447330704,344
2447352852,0,2447363020,345,2447373140,344
2447395284,0,2447405456,345,2447415576,344
2447437716,0,2447447892,345,2447458016,343
2447480156,0,2447490328,346,2447500448,344
2447522588,0,2447532764,346,2447542888,343
2447565032,0,2447575204,347,2447585328,343
2447607468,0,2447617640,346,2447627760,343
2447649900,0,2447660072,345,2447670188,344
2447692336,0,2447702508,345,2447712632,345
2447734772,0,2447744948,345,2447755068,345
2447777216,0,2447787388,346,2447797512,344
2447819652,0,2447829828,346,2447839952,344
2447862096,0,2447872268,346,2447882392,343
2447904532,0,2447914704,346,2447924824,343
2447946968,0,2447957140,346,2447967264,344
2447989408,0,2447999580,346,2448009704,344
2448031844,0,2448042016,345,2448052140,345
2448074284,0,2448084456,345,2448094576,345
2448116724,0,2448126892,345,2448137012,345
2448159160,0,2448169332,346,2448179456,344
2448201596,0,2448211772,346,2448221896,343
2448244040,0,2448254212,347,2448264336,343
2448286476,0,2448296648,346,2448306768,344
2448328912,0,2448339084,346,2448349208,344
2448371344,0,2448381520,345,2448391640,345
2448413780,0,2448423952,345,2448434068,345
2448456208,0,2448466380,345,2448476504,344
2448498644,0,2448508812,346,2448518944,345
2448541084,0,2448551256,346,2448561376,343
2448583516,0,2448593696,346,2448603816,342
2448625960,0,2448636132,346,2448646256,344
2448668396,0,2448678568,346,2448688688,344
2448710828,0,2448721000,345,2448731116,345
2448753260,0,2448763432,345,2448773552,345
2448795692,0,2448805860,345,2448815980,345
2448838124,0,2448848296,346,2448858416,344
2448880556,0,2448890724,346,2448900848,343
2448922992,0,2448933164,347,2448943288,343
2448965428,0,2448975600,347,2448985720,344
2449007860,0,2449018032,346,2449028152,344
2449050288,0,2449060464,346,2449070584,344
2449092728,0,2449102900,345,2449113020,345
2449135160,0,2449145336,345,2449155456,345
2449177596,0,2449187772,346,2449197892,344
2449220044,0,2449230216,346,2449240336,343
2449262476,0,2449272648,347,2449282768,343
2449304912,0,2449315084,346,2449325208,344
2449347352,0,2449357524,346,2449367648,344
2449389788,0,2449399964,345,2449410088,344
2449432232,0,2449442404,345,2449452528,345
2449474664,0,2449484836,345,2449494956,345
2449517100,0,2449527272,346,2449537392,344
2449559540,0,2449569716,346,2449579836,344
2449601980,0,2449612156,347,2449622280,343
